year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,1,18,0,0,0.0,0.0,0.0,998.2955999999999,5.5846800000000485,1.8600000619888304
2020,1,18,0,15,0.0,0.0,0.0,998.23379,5.473475000000036,1.8600000619888304
2020,1,18,0,30,0.0,0.0,0.0,998.1719800000001,5.362270000000024,1.8600000619888304
2020,1,18,0,45,0.0,0.0,0.0,998.1101699999999,5.251065000000011,1.8600000619888304
2020,1,18,1,0,0.0,0.0,0.0,998.04836,5.139859999999999,1.8600000619888304
2020,1,18,1,15,0.0,0.0,0.0,997.990685,5.173185000000004,1.8600000619888304
2020,1,18,1,30,0.0,0.0,0.0,997.9330100000001,5.206510000000009,1.8600000619888304
2020,1,18,1,45,0.0,0.0,0.0,997.8753350000001,5.239835000000014,1.8600000619888304
2020,1,18,2,0,0.0,0.0,0.0,997.81766,5.2731600000000185,1.8600000619888304
2020,1,18,2,15,0.0,0.0,0.0,997.6991825,5.3307000000000215,1.8600000619888304
2020,1,18,2,30,0.0,0.0,0.0,997.580705,5.388240000000025,1.8600000619888304
2020,1,18,2,45,0.0,0.0,0.0,997.4622275,5.445780000000028,1.8600000619888304
2020,1,18,3,0,0.0,0.0,0.0,997.34375,5.503320000000031,1.8600000619888304
2020,1,18,3,15,0.0,0.0,0.0,997.1791875,5.245957500000031,1.8600000619888304
2020,1,18,3,30,0.0,0.0,0.0,997.0146249999999,4.988595000000032,1.8600000619888304
2020,1,18,3,45,0.0,0.0,0.0,996.8500625,4.731232500000033,1.8600000619888304
2020,1,18,4,0,0.0,0.0,0.0,996.6855,4.4738700000000335,1.8600000619888304
2020,1,18,4,15,0.0,0.0,0.0,996.48315,4.539642500000028,1.8600000619888304
2020,1,18,4,30,0.0,0.0,0.0,996.2808,4.605415000000022,1.8600000619888304
2020,1,18,4,45,0.0,0.0,0.0,996.07845,4.671187500000016,1.8600000619888304
2020,1,18,5,0,0.0,0.0,0.0,995.8761,4.7369600000000105,1.8600000619888304
