ts,kw,solar_global,solar_direct,solar_diff_down,pressure,temp,month,day,hour,weekday,holiday
2020-01-21 23:00:00+00:00,59.79066276803116,0.0,0.0,0.0,1021.0148874999999,0.430645000000041,1,21,23,1,0
2020-01-22 00:00:00+00:00,57.84942345924453,0.0,0.0,0.0,1020.1219249999999,0.26518750000003166,1,22,0,2,0
2020-01-22 01:00:00+00:00,60.95035856573705,0.0,0.0,0.0,1019.5495875,-0.04983124999998978,1,22,1,2,0
2020-01-22 02:00:00+00:00,60.54165432098766,0.0,0.0,0.0,1019.500625,-0.14208624999997,1,22,2,2,0
2020-01-22 03:00:00+00:00,64.04038229376258,0.0,0.0,0.0,1019.2273875,-0.15268749999997056,1,22,3,2,0
2020-01-22 04:00:00+00:00,140.2229458917836,0.0,0.0,0.0,1018.9911875,-0.2615624999999895,1,22,4,2,0
2020-01-22 05:00:00+00:00,178.66532653061228,0.0,0.0,0.0,1018.672675,-0.3861074999999943,1,22,5,2,0
2020-01-22 06:00:00+00:00,205.6151843817787,0.0,0.0,0.0,1018.08940625,-0.35872249999997763,1,22,6,2,0
2020-01-22 07:00:00+00:00,234.6684278350516,11.033935485,1.6735839224999998,9.3603515625,1017.7911812499999,-0.49724999999997976,1,22,7,2,0
2020-01-22 08:00:00+00:00,239.85023684210535,61.629674073950206,23.235412234375,38.3942618395752,1017.90835,-0.510351249999978,1,22,8,2,0
2020-01-22 09:00:00+00:00,240.93765363128512,145.26790771343997,77.045473640625,68.22243407281496,1018.4041,-0.15806749999995162,1,22,9,2,0
2020-01-22 10:00:00+00:00,236.05819407008082,213.30586267364492,129.24024656249995,84.06561611114499,1018.76053125,0.3800925000000319,1,22,10,2,0
2020-01-22 11:00:00+00:00,239.23264534883725,246.1552418251951,156.3939354999999,89.76130632519525,1018.5362,1.0450550000000192,1,22,11,2,0
2020-01-22 12:00:00+00:00,223.1049861495846,237.5396894696045,150.02828687500005,87.51140259460445,1017.7854062499999,1.3331875000000295,1,22,12,2,0
2020-01-22 13:00:00+00:00,219.05967391304353,189.02626985925292,110.99091537500004,78.0353544842529,1016.8883125000001,1.2535950000000184,1,22,13,2,0
2020-01-22 14:00:00+00:00,212.33480519480523,111.38436572753929,53.96680325000011,57.41756247753918,1016.1816624999999,0.921273750000033,1,22,14,2,0
2020-01-22 15:00:00+00:00,194.97595360824744,35.10892766723657,10.541973125000085,24.566954542236488,1015.8593249999999,0.4528387500000335,1,22,15,2,0
2020-01-22 16:00:00+00:00,126.4467665952891,0.0,0.0,0.0,1015.9491125,0.10340125000001166,1,22,16,2,0
2020-01-22 17:00:00+00:00,83.56311871227365,0.0,0.0,0.0,1016.1242375,-0.32506499999998084,1,22,17,2,0
2020-01-22 18:00:00+00:00,73.82995959595958,0.0,0.0,0.0,1016.122315,-0.5954124999999735,1,22,18,2,0
2020-01-22 19:00:00+00:00,69.52838264299801,0.0,0.0,0.0,1015.6379125,-0.7507624999999649,1,22,19,2,0
2020-01-22 20:00:00+00:00,66.81371485943774,0.0,0.0,0.0,1015.132,-0.9509062499999672,1,22,20,2,0
2020-01-22 21:00:00+00:00,63.245431861804235,0.0,0.0,0.0,1014.7180125,-1.1687624999999713,1,22,21,2,0
2020-01-22 22:00:00+00:00,61.54366000000002,0.0,0.0,0.0,1014.3779125,-1.5017387499999657,1,22,22,2,0
2020-01-22 23:00:00+00:00,62.554768611670035,0.0,0.0,0.0,1013.7491249999999,-1.3667874999999796,1,22,23,2,0
2020-01-23 00:00:00+00:00,62.212952755905526,0.0,0.0,0.0,1012.8133375,-0.8264062499999838,1,23,0,3,0
2020-01-23 01:00:00+00:00,62.114612326043726,0.0,0.0,0.0,1012.7281750000001,-1.0701862499999777,1,23,1,3,0
2020-01-23 02:00:00+00:00,63.748789625360224,0.0,0.0,0.0,1012.645,-1.2717449999999673,1,23,2,3,0
2020-01-23 03:00:00+00:00,73.40907258064516,0.0,0.0,0.0,1012.1340125,-1.3514074999999792,1,23,3,3,0
2020-01-23 04:00:00+00:00,142.77815040650412,0.0,0.0,0.0,1011.756,-1.5066674999999705,1,23,4,3,0
2020-01-23 05:00:00+00:00,175.82151898734173,0.0,0.0,0.0,1011.4015024999999,-1.6609237499999807,1,23,5,3,0
2020-01-23 06:00:00+00:00,204.72288503253793,0.0,0.0,0.0,1011.02849375,-1.7063912499999887,1,23,6,3,0
2020-01-23 07:00:00+00:00,222.23709589041107,1.8787537162499997,0.0,1.8787537162499997,1011.1972374999999,-1.4191612499999735,1,23,7,3,0
2020-01-23 08:00:00+00:00,235.26867567567564,5.667096464503479,0.0,5.667096464503479,1011.6607625,-1.1072812499999856,1,23,8,3,0
2020-01-23 09:00:00+00:00,224.29931750741832,7.881810742544559,0.0,7.881810742544559,1011.9093187499999,-0.9382187499999972,1,23,9,3,0
